image,model,commons_file,author,licence,licence_url,source
images/canon/canon-ft-ql.jpg,Canon FT QL,"Vintage Canon FT QL 35mm SLR Film Camera, Made In Japan, Circa 1966 - 1972 (13473210395).jpg",Joe Haupt from USA,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"https://commons.wikimedia.org/wiki/File:Vintage_Canon_FT_QL_35mm_SLR_Film_Camera,_Made_In_Japan,_Circa_1966_-_1972_(13473210395).jpg"
images/canon/canon-ftb.jpg,Canon FTb,Canon FTb.jpg,Opoterser,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Canon_FTb.jpg
images/canon/canon-fx.jpg,Canon FX,Canon FX.jpg,Hiyotada,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_FX.jpg
images/canon/canon-mp-e-65mm-f-2-8-1-5x-macro-lens.jpg,Canon MP-E 65mm f/2.8 1-5x Macro lens,Canon MP-E65mm.jpg,"Richard Bartz, Munich aka Makro Freak",CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,https://commons.wikimedia.org/wiki/File:Canon_MP-E65mm.jpg
images/canon/canon-new-f-1.jpg,Canon New F-1,La toute nouvelle SECMA F16 ! - The all new SECMA F16 ! Circuit de Clastres le 10 mai 2014. (14139095706).jpg,"Grand Parc - Bordeaux, France from France",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:La_toute_nouvelle_SECMA_F16_!_-_The_all_new_SECMA_F16_!_Circuit_de_Clastres_le_10_mai_2014._(14139095706).jpg
images/canon/canon-pellix.jpg,Canon Pellix,Canon pellix.jpg,Hiyotada,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_pellix.jpg
images/canon/canon-rf-10-20mm-f4-l-is-stm.jpg,Canon RF 10-20mm F4 L IS STM,Canon RF 10-20mm f4 L STM lens.jpg,D. Benjamin Miller,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://commons.wikimedia.org/wiki/File:Canon_RF_10-20mm_f4_L_STM_lens.jpg
images/canon/canon-rf-100-400mm-f5-6-8-is-usm.jpg,Canon RF 100-400mm F5.6-8 IS USM,Canon RF 100–400mm F5.6–8 IS USM.jpg,TheFredST,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_100%E2%80%93400mm_F5.6%E2%80%938_IS_USM.jpg
images/canon/canon-rf-100-500mm-f4-5-7-1-l-is-usm.jpg,Canon RF 100-500mm F4.5-7.1 L IS USM,Canon EOS R5+RF 100-500mm f4.5-7.1L IS USM(9).jpg,Dinkun Chen,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EOS_R5%2BRF_100-500mm_f4.5-7.1L_IS_USM(9).jpg
images/canon/canon-rf-100mm-f2-8-l-macro-is-usm.jpg,Canon RF 100mm F2.8 L Macro IS USM,Canon RF 100mm F2.8L Macro IS USM.jpg,Christoffer Hjeltnes Støle,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_100mm_F2.8L_Macro_IS_USM.jpg
