slug,name,brand,mount,film_format,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
nikon-af-s-nikkor-200-500mm-f5-6e-ed-vr,Nikon AF-S Nikkor 200-500mm F5.6E ED VR,Nikon,,35mm,200-500,5.6,,,,,Q116719375,,,wikidata
nikon-af-s-nikkor-200mm-f-2g-ed-vr-ii,Nikon AF-S Nikkor 200mm f/2G ED VR II,Nikon,,35mm,200,2,,,,,Q116719376,,,wikidata
nikon-af-s-nikkor-200mm-f-2g-ed-if-vr,Nikon AF-S Nikkor 200mm f/2G ED-IF VR,Nikon,,35mm,200,2,,,,,Q116719377,,,wikidata
nikon-af-s-nikkor-20mm-f-1-8g-ed,Nikon AF-S Nikkor 20mm f/1.8G ED,Nikon,,35mm,20,1.8,,,,,Q116719378,,,wikidata
nikon-af-s-nikkor-24-120mm-f-3-5-5-6g-if-ed-vr,Nikon AF-S Nikkor 24-120mm f/3.5-5.6G IF-ED VR,Nikon,,35mm,24-120,3.5,,,,,Q7036469,,https://en.wikipedia.org/wiki/Nikon_AF-S_Zoom-Nikkor_24-120mm_f/3.5-5.6G_IF-ED_VR,wikidata
nikon-af-s-nikkor-24-120mm-f-4g-ed-vr,Nikon AF-S Nikkor 24-120mm f/4G ED VR,Nikon,,35mm,24-120,4,,,,images/nikon/nikon-af-s-nikkor-24-120mm-f-4g-ed-vr.jpg,Q7036539,2023 Obiektyw Nikkor AF-S 24-120 mm f 4 G ED VR (5).jpg,https://en.wikipedia.org/wiki/Nikon_AF-S_Nikkor_24-120mm_f/4G_ED_VR,wikidata
nikon-af-s-nikkor-24-70mm-f-2-8e-ed-vr,Nikon AF-S Nikkor 24-70mm f/2.8E ED VR,Nikon,,35mm,24-70,2.8,,,,images/nikon/nikon-af-s-nikkor-24-70mm-f-2-8e-ed-vr.jpg,Q63636194,AF-S Zoom-Nikkor 24-70mm 2.8E ED VR-106.jpg,,wikidata
nikon-af-s-nikkor-24-70mm-f-2-8g-ed,Nikon AF-S Nikkor 24-70mm f/2.8G ED,Nikon,,35mm,28-70,2.8,,,,images/nikon/nikon-af-s-nikkor-24-70mm-f-2-8g-ed.jpg,Q63636293,"AF-S Nikkor 24-70 mm 1-2,8G ED F-mount 02.jpg",,wikidata
nikon-af-s-nikkor-24-85mm-f3-5-4-5g-ed-vr,Nikon AF-S Nikkor 24-85mm F3.5-4.5G ED VR,Nikon,,35mm,24,,,,,,Q116719379,,,wikidata
nikon-af-s-nikkor-24mm-f-1-4g-ed,Nikon AF-S Nikkor 24mm f/1.4G ED,Nikon,,35mm,,1.4,,,,,Q116719380,,,wikidata
nikon-af-s-nikkor-28-300mm-f-3-5-5-6g-ed-vr,Nikon AF-S Nikkor 28-300mm f/3.5-5.6G ED VR,Nikon,,35mm,28-300,3.5,,,,images/nikon/nikon-af-s-nikkor-28-300mm-f-3-5-5-6g-ed-vr.jpg,Q63637153,Nikkor 28-300 002.jpg,,wikidata
nikon-af-s-nikkor-28mm-f-1-8g,Nikon AF-S Nikkor 28mm f/1.8G,Nikon,,35mm,28,1.8,,,,images/nikon/nikon-af-s-nikkor-28mm-f-1-8g.jpg,Q63636804,Nikon 28mm f1.8G.jpg,,wikidata
nikon-af-s-nikkor-28mm-f1-4e-ed,Nikon AF-S Nikkor 28mm F1.4E ED,Nikon,,35mm,,,,,,,Q116719381,,,wikidata
nikon-af-s-nikkor-300mm-f-2-8g-ed-vr-ii,Nikon AF-S Nikkor 300mm f/2.8G ED VR II,Nikon,,35mm,300,2.8,,,,,Q116719382,,,wikidata
nikon-af-s-nikkor-300mm-f-2-8g-ed-if-vr,Nikon AF-S Nikkor 300mm f/2.8G ED-IF VR,Nikon,,35mm,300,2.8,,,,,Q116719383,,,wikidata
nikon-af-s-nikkor-300mm-f-4d-if-ed,Nikon AF-S Nikkor 300mm f/4D IF-ED,Nikon,,35mm,300,4,,,,images/nikon/nikon-af-s-nikkor-300mm-f-4d-if-ed.jpg,Q63637263,Nikkor AF 300mm f4 camo.jpg,,wikidata
nikon-af-s-nikkor-35mm-f-1-4g,Nikon AF-S Nikkor 35mm f/1.4G,Nikon,,35mm,,1.4,,,,,Q116719384,,,wikidata
nikon-af-s-nikkor-35mm-f1-8g-ed,Nikon AF-S Nikkor 35mm F1.8G ED,Nikon,,35mm,,1.8,,,,,Q116719385,,,wikidata
nikon-af-s-nikkor-400mm-f-2-8d-ed-if-ii,Nikon AF-S Nikkor 400mm f/2.8D ED-IF II,Nikon,,35mm,400,2.8,,,,,Q116719386,,,wikidata
nikon-af-s-nikkor-400mm-f-2-8e-fl-ed-vr,Nikon AF-S Nikkor 400mm f/2.8E FL ED VR,Nikon,,35mm,400,2.8,,,,,Q116719387,,,wikidata
nikon-af-s-nikkor-400mm-f-2-8g-ed-vr-ii,Nikon AF-S Nikkor 400mm f/2.8G ED VR II,Nikon,,35mm,400,2.8,,,,,Q116719388,,,wikidata
