slug,name,mount,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
canon-ef-35mm-lens,Canon EF 35mm lens,,35,,2015,,,images/canon/canon-ef-35mm-lens.jpg,Q3880565,Canon 35mm f2 II.jpg,https://en.wikipedia.org/wiki/Canon_EF_35mm_lens,wikidata
canon-ef-35-105mm-lens,Canon EF 35–105mm lens,,35-105,,1992,,,,Q19903728,,https://en.wikipedia.org/wiki/Canon_EF_35%E2%80%93105mm_lens,wikidata
canon-ef-35-350mm-lens,Canon EF 35–350mm lens,Canon EF lens mount,35-350,3.5,1993,,,images/canon/canon-ef-35-350mm-lens.jpg,Q5033212,Canon EF 35-350mm f3.5-5.6L.jpg,https://en.wikipedia.org/wiki/Canon_EF_35%E2%80%93350mm_lens,wikidata
canon-ef-35-70mm-lens,Canon EF 35–70mm lens,,35-70,,1987,,,images/canon/canon-ef-35-70mm-lens.jpg,Q25038855,Canon EF 35-70mm F3.5-4.5.jpg,https://en.wikipedia.org/wiki/Canon_EF_35-70mm_lens,wikidata
canon-ef-35-80mm-lens,Canon EF 35–80mm lens,,35-80,,1990,,,images/canon/canon-ef-35-80mm-lens.jpg,Q17048938,CanonEF 35-80 III.jpg,https://en.wikipedia.org/wiki/Canon_EF_35%E2%80%9380mm_lens,wikidata
canon-ef-38-76mm-lens,Canon EF 38–76mm lens,Canon EF lens mount,38-76,4.5,1995,,,,Q25221653,,https://en.wikipedia.org/wiki/Canon_EF_38-76mm_lens,wikidata
canon-ef-400mm-f2-8l-is-ii-usm,Canon EF 400mm F2.8L IS II USM,Canon EF lens mount,400,,,,,images/canon/canon-ef-400mm-f2-8l-is-ii-usm.jpg,Q140448433,Canon EF 400mm f2.8L IS II USM lens.jpg,,wikidata
canon-ef-400mm-lens,Canon EF 400mm lens,,400,,2011,,,images/canon/canon-ef-400mm-lens.jpg,Q3880567,Canon 400mm f28 img 1243.jpg,https://en.wikipedia.org/wiki/Canon_EF_400mm_lens,wikidata
canon-ef-40mm-lens,Canon EF 40mm lens,Canon EF lens mount,40,2.8,,,,images/canon/canon-ef-40mm-lens.jpg,Q5033215,Canon EF 40mm f2.8 STM 9409.jpg,https://en.wikipedia.org/wiki/Canon_EF_40mm_lens,wikidata
canon-ef-50-200mm-lens,Canon EF 50-200mm lens,,50-200,,1988,,,,Q25038864,,https://en.wikipedia.org/wiki/Canon_EF_50-200mm_lens,wikidata
canon-ef-500mm-lens,Canon EF 500mm lens,,500,,1999,,,images/canon/canon-ef-500mm-lens.jpg,Q3880572,Canon EF 500.jpg,https://en.wikipedia.org/wiki/Canon_EF_500mm_lens,wikidata
canon-ef-50mm-f1-0l-usm,Canon EF 50mm F1.0L USM,Canon EF lens mount,50,1,1989,,,images/canon/canon-ef-50mm-f1-0l-usm.jpg,Q60172500,Canon EF 50mm f 1.0L.JPG,,wikidata
canon-ef-50mm-f1-2l-usm,Canon EF 50mm F1.2L USM,Canon EF lens mount,50,1.2,2007,,,images/canon/canon-ef-50mm-f1-2l-usm.jpg,Q141147935,Canon-50mm-f12 MG 2028.jpg,,wikidata
canon-ef-50mm-f1-8,Canon EF 50mm F1.8,Canon EF lens mount,50,1.8,1990,,,images/canon/canon-ef-50mm-f1-8.jpg,Q60221595,Canon EF 50mm f18.jpg,,wikidata
canon-ef-50mm-f1-8-ii,Canon EF 50mm F1.8 II,Canon EF lens mount,50,1.8,,,,images/canon/canon-ef-50mm-f1-8-ii.jpg,Q12062737,Canon EF 50mm 18 II.JPG,https://en.wikipedia.org/wiki/Canon_EF_50mm_f/1.8_II,wikidata
canon-ef-50mm-f1-8-stm,Canon EF 50mm F1.8 STM,Canon EF lens mount,50,1.8,2015,,,images/canon/canon-ef-50mm-f1-8-stm.jpg,Q98729659,Ef 50mm stm.JPG,https://en.wikipedia.org/wiki/Canon_EF_50mm_f/1.8_STM,wikidata
canon-ef-50mm-lens,Canon EF 50mm lens,,50,,,,,images/canon/canon-ef-50mm-lens.jpg,Q1208820,Ef 50mm stm.JPG,https://en.wikipedia.org/wiki/Canon_EF_50mm_lens,wikidata
canon-ef-55-200mm-lens,Canon EF 55–200mm lens,,55-200,,2003,,,,Q25326874,,https://en.wikipedia.org/wiki/Canon_EF_55%E2%80%93200mm_lens,wikidata
canon-ef-600mm-lens,Canon EF 600mm lens,,600,4,2018,,,images/canon/canon-ef-600mm-lens.jpg,Q5033217,Canon EF 600.jpg,https://en.wikipedia.org/wiki/Canon_EF_600mm_lens,wikidata
canon-ef-70-200mm-f2-8l-is-ii-usm,Canon EF 70-200mm F2.8L IS II USM,,70-200,2.8,2001,,,images/canon/canon-ef-70-200mm-f2-8l-is-ii-usm.jpg,Q111794891,Canon Zoom-Lens EF 70-200 F2.8L IS II USM-01a.jpg,,wikidata
canon-ef-70-200mm-f2-8l-is-iii-usm,Canon EF 70-200mm F2.8L IS III USM,Canon EF lens mount,70-200,2.8,2018,,,images/canon/canon-ef-70-200mm-f2-8l-is-iii-usm.jpg,Q114796419,Canon EF 70-200mm f2.8L IS III USM.jpg,,wikidata
canon-ef-70-200mm-f2-8l-usm,Canon EF 70-200mm F2.8L USM,,,,,,,,Q138772673,,,wikidata
canon-ef-70-300mm-f4-5-6-is-ii-usm,Canon EF 70-300mm F4-5.6 IS II USM,Canon EF lens mount,70-300,,2016,,,,Q98729517,,,wikidata
canon-ef-70-300mm-f4-5-6-is-usm,Canon EF 70-300mm F4-5.6 IS USM,Canon EF lens mount,70-300,,2005,,,images/canon/canon-ef-70-300mm-f4-5-6-is-usm.jpg,Q126286127,Canon 70-300mm f4-5.6 is usm.jpg,,wikidata
canon-ef-70-200mm-lens,Canon EF 70–200mm lens,,70-200,,,,,images/canon/canon-ef-70-200mm-lens.jpg,Q1358428,Canon EF 70-200mm f4 IS USM.jpg,https://en.wikipedia.org/wiki/Canon_EF_70%E2%80%93200mm_lens,wikidata
canon-ef-70-210mm-lens,Canon EF 70–210mm lens,,70-210,,1990,,,images/canon/canon-ef-70-210mm-lens.jpg,Q5033216,Canon 70-210mm f4 7303.jpg,https://en.wikipedia.org/wiki/Canon_EF_70%E2%80%93210mm_lens,wikidata
